0,526524.5815,2219204.235,0
1,558696.1813,2227723.074,3.7156
2,583264.6803,2229233.55,9.5522
3,506008.7764,2241256.523,9.3816
4,567182.8902,2250273.364,1.909
5,487229.0735,2221732.115,2.466
6,463521.057,2256888.738,2.7818
7,562533.6865,2178764.426,1.6794
8,557521.5984,2179497.098,6.766
9,476861.4362,2218075.902,3.638
10,567740.4414,2324188.456,3.2852
11,477170.9166,2211635.788,6.3054
12,534558.5571,2243260.051,4.6922
13,543291.5699,2310821.884,2.8476
14,487808.0056,2279366.164,2.6614
15,456801.9727,2243093.233,1.6672
16,509879.3928,2339775.62,3.7376
17,475822.7308,2248113.337,2.5906
18,572188.7988,2215589.126,9.1076
19,509265.7734,2236014.806,2.5526
20,519906.5123,2294147.078,0.3316
21,547428.2165,2173587.629,2.0288
22,538074.3689,2213499.178,2.1648
23,490712.8958,2238621.951,4.8598
24,544132.5602,2234105.958,2.8992
25,574085.2511,2325804.771,3.3946
26,550907.3485,2325809.433,2.4232
27,596096.284,2262695.533,4.3938
28,560168.8734,2337766.993,22.6884
29,432057.4141,2253173.757,6.9448
30,477171.2002,2265149.47,14.3024
31,480395.5546,2323079.907,1.76
32,547964.1206,2336945.104,1.805
33,517810.827,2298205.397,0.4876
34,487201.0602,2333150.031,1.5512
35,529414.0326,2304572.361,1.609
36,570804.6043,2238055.696,2.0556
37,524581.1179,2277318.44,3.181
38,528147.6367,2236749.797,1.3706
39,534258.9544,2227654.746,2.1964
40,531760.4018,2219534.68,14.6616
41,477642.7935,2236894.629,6.0842
42,528065.738,2298533.158,1.7696
43,484327.7463,2296456.415,0.9946
44,432727.3603,2239560.536,1.988
45,536721.3592,2230283.463,1.4084
46,540721.2733,2341117.456,7.1824
47,528201.6633,2225507.495,47.155
48,469215.2691,2327727.492,0.6784
49,499357.4981,2343702.377,3.5842
50,480968.9821,2238780.044,3.7278
51,537649.139,2270538.367,1.3574
52,511838.4755,2224287.561,4.855
53,583282.3111,2255860.252,3.5156
54,498408.6295,2242993.355,4.8222
55,503755.3236,2253817.492,2.351
56,567253.6429,2215941.284,5.0702
57,550386.897,2207990.542,2.4742
58,467434.291,2272582.282,2.5342
59,433818.5608,2270722.668,5.784
60,580722.5061,2249082.209,2.9256
61,546770.1484,2187818.652,7.9534
62,516252.4757,2323738.037,5.6552
63,464257.3887,2201008.513,12.2568
64,460265.9119,2232203.057,1.2614
65,483665.1781,2222866.936,1.5954
66,471518.2714,2232858.637,7.6942
67,538491.2087,2292119.374,2.5562
68,501928.3365,2193889.307,19.7294
69,475464.5755,2225982.78,2.892
70,505179.1271,2313725.554,1.4362
71,541455.63,2191375.636,1.114
72,535314.0114,2321011.416,6.9314
73,476830.355,2221648.327,4.3684
74,508176.103,2206680.058,2.0242
75,465110.812,2217300.962,15.755
76,564602.7863,2223491.444,26.4802
77,518915.2937,2198197.666,2.0614
78,574436.2153,2304101.341,3.9548
79,533381.5613,2297501.292,1.0522
80,564161.0509,2316934.147,4.925
81,536083.1465,2282927.258,5.5994
82,514437.5512,2208615.336,2.8582
83,534731.7475,2202157.993,5.36
84,460114.3568,2293252.974,6.1
